,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000000003.14_TSPAN6,813,789,856,751,1412,997,816,677,1374,958,930,1426
ENSG00000000005.5_TNMD,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.12_DPM1,1593,1807,1324,1346,2639,2264,1924,1543,3102,2299,2247,2388
ENSG00000000457.13_SCYL3,302.53,283.09,387.12,342.38,539.11,417.52,467.4,412.28,537.59,458.92,376.09,472.8
ENSG00000000460.16_C1orf112,155.47,228.91,281.88,338.62,921.89,688.48,776.6,758.72,1582.41,1257.08,1110.91,1742.2
ENSG00000000938.12_FGR,0,0,2,0,17,7,11,16,2,4,3,6
ENSG00000000971.15_CFH,6696.94,7880.93,9817.89,9852.96,177.01,135,96,88,37.76,26,10,22
ENSG00000001036.13_FUCA2,1866,2152,2976,2792,6174,4758,5257,4580,3819,3243,3513,4588
ENSG00000001084.10_GCLC,721,838,1206,1098,4049.9,3204,3144,2522,2179,1785,1783,2332.7
ENSG00000001167.14_NFYA,1581,2002,1959,1756,2804,2382,2741,2349,3063,2552,2511,3288
ENSG00000001460.17_STPG1,352,368,701,628,688,606,598,507,533,465,371,479
ENSG00000001461.16_NIPAL3,2697,3357,5318,4301,4907,3591,3471,2838,2171,1928,1837,2647
ENSG00000001497.16_LAS1L,1461,2001,1987,1460,2248,1520,1589,1453,2461,2117,1781,2297
ENSG00000001561.6_ENPP4,803,907,1034,982,431,367,372,288,392,225,208,246
ENSG00000001617.11_SEMA3F,177,313,169,98,929,509,856,598,533,565,289,300
ENSG00000001626.14_CFTR,0,3,12,8,0,0,0,0,0,0,0,1
ENSG00000001629.9_ANKIB1,3182,3797,5081,4892,3007,2597,2312,2037,3392,2859,2630,3369
ENSG00000001630.15_CYP51A1,2882,3253,3140,3017,7891,6329,6657,5703,9566,8270,7599,9033
ENSG00000001631.14_KRIT1,910,1055,1541,1468,2036,1892,2300,1906,2286,1848,1663,1821
ENSG00000002016.16_RAD52,84,134,268,257,297,184,327,293,254,194,144,189
ENSG00000002330.13_BAD,406,521.66,644.48,270.21,644.34,342.57,362.91,222.84,514.7,517.34,355.51,399.66
ENSG00000002549.12_LAP3,3689,4618,7242,6524,2312,1927,2121,1856,2125,1764,1908,2294
ENSG00000002586.17_CD99,3816,4182.5,5264.5,3767.5,1376.5,1163.5,1509,1168.5,979,909.5,946.5,862
ENSG00000002587.9_HS3ST1,37,28,71,47,22,22,15,14,68,48,42,36
ENSG00000002726.19_AOC1,0,0,0,0,3,1,0,1,31,27,13,15
ENSG00000002745.12_WNT16,2,0,2,1,0,2,6,2,2,7,2,0
ENSG00000002746.14_HECW1,0,1,11,6,395,284,331,292,227,179,179,160
ENSG00000002822.15_MAD1L1,409,585,708,472,1416,910,1225,897,986,959,873,910
ENSG00000002834.17_LASP1,12992,15911,19048,13962,16104,12316,13878,11848,12547,10876,11314,13981
ENSG00000002919.14_SNX11,684,703,887,727,707,457,413,370,603,535,493,916
ENSG00000002933.7_TMEM176A,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056.7_M6PR,6428.5,7504.12,7351.43,6208.11,6039.17,5033.23,4802.66,4209.61,6316.62,5146.31,4956.78,6128.53
ENSG00000003096.13_KLHL13,345,430,366,285,423,270,243,245,393,305,275,436
ENSG00000003137.8_CYP26B1,29,47,161,131,1067,813,964,711,886,749,903,1007
ENSG00000003147.17_ICA1,28,34,18,38,444,375,267,251,260,261,285,267
ENSG00000003249.13_DBNDD1,320,390,542,400,459,306,309,233,871,882,581,517
ENSG00000003393.14_ALS2,3188,4047,4357,3819,1614,1478,1376,1191,1581,1454,1302,1556
ENSG00000003400.14_CASP10,263,324,473,407,15,6,6,9,7,3,4,5
ENSG00000003402.19_CFLAR,4475,5684,6777,5926,2721,2231,3419,2979,2432,1904,1684,2126
ENSG00000003436.14_TFPI,598,635,535,498,3500,3307,2397,2033,2021,1491,1874,2096
ENSG00000003509.15_NDUFAF7,392.37,529.1,732.25,736.28,920.26,823.22,926.81,784.6,1432.86,978.61,1015.48,1090.53
ENSG00000003756.16_RBM5,2634,3521.91,5415,4667,2613,2086,3018,2611,2529,2183,1982,2593
ENSG00000003987.13_MTMR7,136.78,150.25,195.18,192.04,16,13,22,26,23.83,15.84,8.67,11.82
ENSG00000003989.16_SLC7A2,1885,2438,1232,1139,810,588,520,439,400,325,386,497
ENSG00000004059.10_ARF5,4578,4764.33,4582.29,2637.57,4949.7,3597.05,3337.48,2459.19,5611.99,5035.12,4553.41,4336.95
ENSG00000004139.13_SARM1,647.65,963.03,927.15,499.64,94.4,86.7,156.55,134.31,69.42,50.34,44.41,92.63
ENSG00000004142.11_POLDIP2,2959,3400,4145,2915,8683,6187,6581,5673,8147,7250,6927,9629
ENSG00000004399.12_PLXND1,4826,6578,3169,1702,820,549,899,606,542,451,500,538
ENSG00000004455.16_AK2,4632,5189,4529,3581,12620,10980,11048,9347,11111,9359,8881,9462
ENSG00000004468.12_CD38,4,7,20,17,22,18,4,6,10,7,13,12
ENSG00000004478.7_FKBP4,3075,3692,3983,2970,8744,6129,6826,6006,11457,10289,9170,12769
ENSG00000004487.15_KDM1A,7214,8322,12840,11140,8935,6847,8263,7128,6375,5532,5727,7275
ENSG00000004534.14_RBM6,2583,3529.09,6348,6136,2130,1787,2822,2344,1839,1493,1653,1847
ENSG00000004660.14_CAMKK1,863,1291,661,421,857,497,564,431,613,524,383,498
ENSG00000004700.15_RECQL,2243.5,2506.54,2486.83,2641.92,2582.16,2037.67,1985.61,1815.07,2913.68,1825.82,2002.19,2807.56
ENSG00000004766.15_CCDC132,903,929,1007,1005,1832,1521,965,802,2879,2000,1804,2209
ENSG00000004776.11_HSPB6,1,0,1,1,1,6,15,11,0,2,2,8
ENSG00000004777.18_ARHGAP33,73,146,150,101,133,95,270,178,77,96,67,53
ENSG00000004779.9_NDUFAB1,892,792,758,682,3316,2314,2027,1681,3091,2453,2321,3402
ENSG00000004799.7_PDK4,41,55,40,36,1920,1604,1380,1181,731,620,746,812
ENSG00000004809.13_SLC22A16,0,0,1,0,0,0,2,0,0,0,0,0
ENSG00000004838.13_ZMYND10,10,7,24,24,22,14,24,22,9,6,12,13
ENSG00000004846.16_ABCB5,38,38,58,32,0,0,0,0,1,0,0,0
ENSG00000004848.6_ARX,3,6,2,0,0,1,0,0,2,3,0,1
ENSG00000004864.13_SLC25A13,2140,2500,2140,1899,2514,1976,1778,1537,2084,1872,1766,2246
ENSG00000004866.18_ST7,662,751,1274,1001,938,882,932,844,1066,984,948,1067
ENSG00000004897.11_CDC27,4521,5174,5206,5171,7151,7008,7479,6483,7002,5195,5249,5776
ENSG00000004939.13_SLC4A1,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000004948.13_CALCR,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000004961.14_HCCS,3949,4246,4837,4417,1217,908,840,780,1039,929,838,1208
ENSG00000004975.11_DVL2,852,1074,2116,1303,1950,1109,1531,1148,1625,1520,1170,1540
ENSG00000005001.9_PRSS22,1,2,0,0,42,19,2,5,99,77,55,69
ENSG00000005007.12_UPF1,2636,3486,4420,2516,6446,3522,4564,3375,5751,5381,4670,5282
ENSG00000005020.12_SKAP2,2965,3410,3056,2876,2861,2600,2563,2187,2459,2136,2000,2312
ENSG00000005022.5_SLC25A5,5569,5992,5492,4216,11532,6928,8400,6737,7049,6713,6643,9910
ENSG00000005059.15_CCDC109B,885,887,601,659,401,324,294,268,320,265,267,374
ENSG00000005073.5_HOXA11,1,0,0,0,571,408,479,404,531,419,391,518
ENSG00000005075.15_POLR2J,1574.38,1855.06,1962.07,1316.75,2812.97,2795.42,2566.67,1948.39,3664.04,3434.45,2971.3,2545.41
ENSG00000005100.12_DHX33,1110,1287,1537,1261,3549,2645,3204,2842,3532,2959,2729,3618
ENSG00000005102.12_MEOX1,1112,1273,2459,1931,4,2,1,2,2,1,4,3
ENSG00000005108.15_THSD7A,15,27,5,12,0,0,1,0,1,0,0,0
ENSG00000005156.11_LIG3,1159.21,1439.56,1951.42,1424.4,2517.09,2099.45,2345.39,1963.97,2739.44,2428.63,2088.68,2539.93
ENSG00000005175.9_RPAP3,1421,1635,1729,1776,1546,1558,1526,1306,2511,1745,1712,1783
ENSG00000005187.11_ACSM3,23.15,23.46,34.09,24.03,66.99,46.52,35.42,34.4,42.41,19.98,22.47,31.26
ENSG00000005189.19_AC004381.6,63,96,67,90,656,444,584,548.23,417,348,366,584
ENSG00000005194.14_CIAPIN1,1438,1656,2146,1637,4707,2906,3177,2673,3707,3248,3080,4632
ENSG00000005206.16_SPPL2B,218.55,338,721,346,707,408,789,553,493,368,360,341
ENSG00000005238.19_FAM214B,1394,1828,2717,1778,2256,1691,1653,1359,2499,2201,2140,2305
ENSG00000005243.9_COPZ2,555,574,558,451,169,101,94,90,72,41,57,103
ENSG00000005249.12_PRKAR2B,138,197,108,161,54,47,51,43,35,34,47,54
ENSG00000005302.17_MSL3,8019,9168,10408,9063,919,817,910,819,1051,923,865,1023
ENSG00000005339.12_CREBBP,2511,3285,5690,3739,1896,1772,2550,2001,2102,2004,1675,1716
ENSG00000005379.15_BZRAP1,0,2,0,0,31,12,32,26,21,8,12,12
