logFC_RCCD1OE.CONTROL	padj_RCCD1OE.CONTROL
SEMA3F	-0.561400264114281	2.58447595891071e-05
PRSS3	1.10729510260382	0.000127046374741004
MRC2	0.551412336421752	4.46641123693279e-05
NME2	-0.526967497083458	2.50284474422336e-07
DCN	1.42352193161734	5.59637440460248e-36
GABRA3	0.997723236072815	4.94671128768799e-08
CD22	0.57809208459266	0.0347514324900589
KCNG1	-0.562242873168914	0.0147348327997083
RTN4R	-0.701128814262272	0.0169606204166337
EPN3	-0.769302116504971	1.71627655149174e-06
PRSS8	-0.663486571175431	2.76309990819835e-11
LIMCH1	0.571183977118963	9.61065546262861e-05
EML1	0.55783618768454	0.0136112179322699
NOTCH3	-0.544747442297929	6.68663093493892e-07
LXN	-0.519613741598764	1.15766830896083e-06
TTC39A	-0.748609296290409	0.00243591578408673
PHGDH	-0.618349308905827	2.52239111686399e-07
BLNK	-0.922677036321591	0.0467687123297583
C19orf26	-0.646651624113868	0.030009341116449
SNTA1	-0.550311830963933	0.000321785399872624
MCF2	-0.507067839879312	0.00278229488446424
CRISPLD2	0.511514580384985	0.00353045110782183
PLAT	0.613529513958424	5.32860111015128e-10
NEFM	-0.563546965475657	0.0168582445122782
TUBB4A	-0.526736533320816	0.00233507814803329
OLFM2	-1.06310599745142	0.0206743711758624
CASP14	-2.22465461143568	7.21698970957539e-68
TJP3	-0.678239077505243	0.00385607262135443
MYH14	-0.746661833710139	7.66238533610595e-13
ADAP1	-0.682318173452076	3.84915478238966e-09
PRUNE2	0.638110866514264	0.00078529753931354
DOCK8	0.569281749144931	8.12830061692612e-05
CA9	-1.35015375256877	4.10317288786852e-21
EBF3	1.13705289655911	2.51201297671275e-09
EFNB3	0.81417200270397	0.00630512297051943
MDK	-0.621470890923565	1.77215149938919e-07
WNT5B	0.527729818746538	0.0242371338217949
RASAL1	-0.751157589060847	1.13688007732529e-05
COL12A1	0.662735901701396	1.16919432508185e-12
FAM65B	0.758143596640736	1.43012201115138e-07
PDE10A	0.976406436830626	6.77733570901726e-11
ENPP5	-0.75565890889408	0.00344039575142784
SLC27A6	0.546747440137095	0.00341755570094505
PRLR	0.955830752074142	0.00241541570111912
WNT5A	1.14388691925151	1.03830781775456e-07
GRB14	-0.766394341572381	0.00344039575142784
EFHD1	1.24843814030317	0.0427159241747991
EPHA4	0.547415312121657	0.00890576810492573
C1orf21	0.620936172139677	0.000457548387957916
AGMAT	0.978020439331029	0.0168582445122782
NID1	0.821376718811385	0.0350911603701584
CCND2	-0.819867744296301	4.3241669656255e-08
ACOT2	0.608116417816371	0.0383749787771903
CNNM1	0.750400733386783	7.32143172356366e-06
CSTA	-0.643142992434578	2.06737768061622e-10
FABP3	0.980002679339519	0.00131580871741731
IL1B	-0.509567529596985	5.00045378981003e-05
PSD4	-0.595637923286999	3.26205727369933e-06
HRASLS	-0.518262789880072	0.041157117684819
LRFN1	-0.507596231135976	0.0312819319999457
CPA4	0.520323443773663	1.31421381324771e-06
FOXP2	1.14433721248472	0.00890576810492573
KLK8	-0.646987817702151	1.70792011882794e-05
OLFM1	1.01711692047826	0.00518697342410712
COL5A1	0.546178344152038	1.57214933877808e-08
RBBP8NL	-1.11675552856641	0.00348118471114476
MATN3	0.672444128807145	0.000127879946741988
SLC6A11	-0.762107186373797	1.06428021348179e-05
MATN2	0.778925055208551	0.00171808613251607
RAB25	-0.837193729100198	2.17258448984442e-16
SYT11	0.613152848745186	0.000521035018872678
ALDH3B2	-1.23878686185378	4.44411438742326e-08
ATP8A2	0.819779401008415	0.016418424215628
C14orf159	0.575354935534858	0.0439388339944679
FST	0.619900483261143	0.0121013003430632
DSC3	-0.569299153259854	9.97307792238778e-07
TCN1	-0.71610306098234	0.0411899362133273
HTR1B	0.820114758853137	0.00378882390888598
PRR5L	0.902818039770361	8.10563085053306e-11
EHF	-0.739166272316154	0.0433088381830043
SERPINE2	0.788412698115915	4.86992518927261e-18
IL1RN	-0.949061102002243	5.63920266397762e-10
ENPP2	0.929557251002548	1.29887211011141e-08
IER3	-0.530702001622418	8.3299654891261e-08
PI15	2.10924605793337	0.0268021296943777
SULF1	1.47136505060353	0.0248332155137219
