logFC_RCCD1OE.CONTROL	padj_RCCD1OE.CONTROL
SEMA3F	-0.726868975914982	3.44395271099732e-05
RAD52	0.772798613437404	1.20555801573946e-05
CYP26B1	1.22905125976226	4.13572349881685e-09
SLC7A2	-0.712665075360862	2.16065889344493e-09
PLXND1	-0.986264464329871	3.92905165421887e-21
RBM6	0.606874944122628	1.61872462344308e-08
CAMKK1	-0.81174130256978	4.16201289368587e-10
SPPL2B	0.514964078578155	0.00138746130319351
CROT	1.09534380465639	8.7350805839098e-27
SOX8	-2.47212658787831	0.0147050291910744
PDK2	0.650151264835625	1.91662644497842e-05
CX3CL1	-2.12200379134539	0.00687247798365908
TNFRSF12A	-0.504160289340028	2.3549535937487e-06
KDM7A	-0.548638037577373	0.000343111756039349
ALDH3B1	-0.733396446357942	3.90323063233866e-09
TTC22	1.7788085943631	0.00860221026103674
CCL26	1.04906729395361	4.41703867236361e-05
TRAPPC6A	-0.607276687228739	0.00248208816278717
FMO3	0.631071460454294	6.92407717218055e-07
CYB561	0.749156939929076	4.05737088816191e-08
CELSR3	1.61353912757366	3.67700101637316e-11
MPND	-0.526951930414457	0.0026140258694389
RPS20	-0.52695457009342	4.57259538601879e-07
ETV7	0.525794140863155	0.00117459015297655
CLCN6	0.817926083818063	1.77823367037734e-10
APBA3	0.564072938610858	0.000543098978068075
AKAP8L	0.71512047635936	1.51056156418451e-09
PLAUR	-1.28394184001431	1.96458602515841e-33
GABRA3	-1.05451493146535	8.1084750461168e-10
ALOX5	1.13127651739898	2.50391922681981e-13
SLC7A14	2.71819876981964	0.00108359112345537
CLK1	0.618206793022836	2.36580512475627e-07
GPRC5A	0.512440818341202	1.23646652887544e-06
MAMLD1	-0.750119076361244	4.65291931383707e-07
RGPD5	-0.525271071795366	0.000119470253856977
SLC38A5	1.8875541310081	1.97087711226428e-50
WWTR1	-0.651489577035109	7.2043363618456e-09
CYP24A1	0.704045324636908	4.56489863481191e-05
PLEKHB1	0.725630451488218	0.000633347511238693
